source_row,target_row,subfield_id,mean_support,min_model_support,max_model_support,model_spread,specter_support,specter2_support,scincl_support,scibert_support,bert_support,mpnet_support,minilm_support,pubmedbert_support,biobert_support,simcse_support,relation,source_tail,source_work_id,target_work_id,source_title,target_title,source_doi,target_doi,source_review_note,target_review_note
202613,240037,2213,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,recurrent,higher,W2081778888,W2767433139,"Road risk-perception and pedestrian injuries among students at Ain Shams University, Cairo, Egypt",A population-based case-control study of hospitalisation due to head injuries among bicyclists and motorcyclists in Taiwan,10.5249/jivr.v4i2.112,10.1136/bmjopen-2017-018574,,
202613,157749,2213,0.7100000000000001,0.0,1.0,1.0,1.0,0.8,0.3,1.0,1.0,0.1,0.0,1.0,1.0,0.9,encoder_dependent,higher,W2081778888,W2807712187,"Road risk-perception and pedestrian injuries among students at Ain Shams University, Cairo, Egypt",Analysis of Performance Data Collected from Two Wrong-Way Driving Advanced Technology Countermeasures and Results of Countermeasures Stakeholder Surveys,10.5249/jivr.v4i2.112,10.1177/0361198118778933,,
99305,159171,3320,0.53,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3,0.0,recurrent,lower,W2011180849,W1560063749,Invasion Strategy,Microbial risk governance: challenges and opportunities in fresh water management in Canada,10.1126/science.301.5632.439b,10.1080/07011784.2015.1043648,Etiqueta temática incompatible con el resumen: infección bacteriana clasificada en política.,
99305,159171,3320,0.53,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3,0.0,encoder_dependent,lower,W2011180849,W1560063749,Invasion Strategy,Microbial risk governance: challenges and opportunities in fresh water management in Canada,10.1126/science.301.5632.439b,10.1080/07011784.2015.1043648,Etiqueta temática incompatible con el resumen: infección bacteriana clasificada en política.,
202595,332145,3106,0.7,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,recurrent,lower,W7045581866,W1655608334,Beyond the witch trials: Witchcraft and magic in Enlightenment Europe,Precision Experiments in Electroweak Interactions,,,Etiqueta y tipo problemáticos: descripción de un libro de historia clasificada en física.,
202595,332145,3106,0.7,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,encoder_dependent,lower,W7045581866,W1655608334,Beyond the witch trials: Witchcraft and magic in Enlightenment Europe,Precision Experiments in Electroweak Interactions,,,Etiqueta y tipo problemáticos: descripción de un libro de historia clasificada en física.,
327954,174722,2503,0.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,recurrent,lower,W1966552042,W1969576720,Optical properties of cobalt clusters implanted in thin silica layers,Electron Energy-loss Spectroscopy Characterization of ∼1 nm-thick Amorphous Film at Grain Boundary in Si-based Ceramics,10.1103/physrevb.74.045423,10.2320/matertrans.45.2091,"Resumen con bastante código de fórmulas; posible factor de entrada, sin prueba causal.",
327954,174722,2503,0.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,encoder_dependent,lower,W1966552042,W1969576720,Optical properties of cobalt clusters implanted in thin silica layers,Electron Energy-loss Spectroscopy Characterization of ∼1 nm-thick Amorphous Film at Grain Boundary in Si-based Ceramics,10.1103/physrevb.74.045423,10.2320/matertrans.45.2091,"Resumen con bastante código de fórmulas; posible factor de entrada, sin prueba causal.",
93549,127343,2731,0.48,0.0,1.0,1.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0,1.0,0.0,1.0,recurrent,lower,W4234898602,W4404091891,Announcement,COMPLEX DIAGNOSTICS AND MONITORING OF PRIMARY GLAUCOMA SIMPLEX WITH USE OF COMPUTER COLORIMETRIC ANALYSIS AND DUPLEX DOPPLEROGRAPHY,10.1159/000310820,,Announcement: texto de reseña de atlas clínico; marca de aviso no detectada en la limpieza original.,
93549,127343,2731,0.48,0.0,1.0,1.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0,1.0,0.0,1.0,encoder_dependent,lower,W4234898602,W4404091891,Announcement,COMPLEX DIAGNOSTICS AND MONITORING OF PRIMARY GLAUCOMA SIMPLEX WITH USE OF COMPUTER COLORIMETRIC ANALYSIS AND DUPLEX DOPPLEROGRAPHY,10.1159/000310820,,Announcement: texto de reseña de atlas clínico; marca de aviso no detectada en la limpieza original.,
14405,183611,1712,0.61,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,recurrent,lower,W2117277818,W2134139441,Conversion of a rule based to an object oriented expert system,Hazard and Operability (HAZOP) Analysis of Safety-Related Scientific Software,10.1109/secon.1991.147858,10.1142/s0218539315500011,,
14405,183611,1712,0.61,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,encoder_dependent,lower,W2117277818,W2134139441,Conversion of a rule based to an object oriented expert system,Hazard and Operability (HAZOP) Analysis of Safety-Related Scientific Software,10.1109/secon.1991.147858,10.1142/s0218539315500011,,
329824,401757,1205,0.79,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,recurrent,lower,W3110667008,W50800349,‘Thare is na leid on life of lordship hym like’: linguistic means of depicting king arthur in the poem Golagros and Gawain,The Construction of Power and Pride in the Framework of Political Allegory in the Middle English Pride of Life. (Literature),10.18287/2542-0445-2020-26-3-108-113,,,
329824,401757,1205,0.79,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,encoder_dependent,lower,W3110667008,W50800349,‘Thare is na leid on life of lordship hym like’: linguistic means of depicting king arthur in the poem Golagros and Gawain,The Construction of Power and Pride in the Framework of Political Allegory in the Middle English Pride of Life. (Literature),10.18287/2542-0445-2020-26-3-108-113,,,
