work_id,selection_order,cohort,field_id,period_start,title,flags,text_sha256
W2114195014,110890,base,33,2010,Sustainable development: from responsibility to entrepreneurship,library_description_americanae,aa4835d54c82313f38db8c378494c82b675450ea5892fe31490c7d88a3781cad
W4252423548,111327,base,12,2000,10.1037/e384792004-001,doi_error_text,509a1f5212a7717643b6d59265c60fb5295ea42c4646c65f611a148f3818379b
W2321977842,113715,base,27,2010,The current role of β-blocker therapy in the management of cardiovascular diseases,doi_error_text,3993ac0e35e8b86bd1ecb4ba7e458f02ec4e34c2772fefc0240b1ed9359d57d5
W1978429542,116892,base,12,2000,"Retribution, Restitution and Revenge",doi_error_text,8b18ed8b75e8714eb7e42fe679e197ded584f78b6aa3873e7790ca2defd1947a
W2564029203,119373,base,23,2015,Fixed-Bed Adsorption of Metanil Yellow from Aqueous Solution on HNO3-Treated-H3PO4-Activated Carbon from Gmelina Bark,journal_description_asian_chemistry,1b2332c38ded35c5b46bfc79ee418169cd729b5653b4d8a910b93fedcaf16323
W4251405041,119975,base,22,2005,77 GHz Phfet-harmonic-mixer Mmic,doi_error_text,1f89e2c515c67aa1f458f0fa63f811159e70f5581575ebd5eae51ffeeaaa3c72
W2807919013,121290,base,17,2015,Examination of Clustering Techniques using Genetic Algorithm,journal_description_ijcse,c0209cc8e972bbf812b9a32cc3058400500177e05687017f3353cfd7b6db2adb
W2515968391,124228,base,16,2015,Preparation of C60 Nanowhisker-Nb2O5 Nanocomposites and Kinetics Study of Photocatalytic Degradation of Organic Dyes,journal_description_asian_chemistry,8370b98a24d48381f015f97ee807fda7f4add55706c41737740c01f2a5b74632
W4403026332,128749,base,12,2020,Computer-Aided Design and Intelligent Optimization in the Inheritance of Intangible Cultural Heritage,journal_description_cad,ee8e02213d7820e8d8619a28e683f269e23a70de3663a729a64cdddc9b96c5ed
W2908070891,132273,base,17,2015,An Overview Of Intrusion Detection System Using Various Classification Concepts,journal_description_ijcse,0b5449d4c06523ea54bdf9f34693bab32a650ef653f29f71b44b83d81c2f64f8
W1985532294,133982,base,31,2005,The generalized maximum entropy trapezoidal probability density function,library_description_americanae,83bfbbaed756a5718fd3a9a4b0d79ce348b61444fe51eded9a273192a3b9045e
W4246570723,143591,base,12,2000,10.1037/e524922013-001,doi_error_text,af3e119261e66f3856718d84f0edb48076399cc251279d7c744ebec3cc85d6eb
W2320321148,146376,base,21,2010,Effects of Operating Parameters on Photocatalytic Degradation of Methylene Blue or Phenol on Supported Titanium-Based Catalysts,journal_description_asian_chemistry,e43711497d89b74924fdb9f7d6a17a924aaa54e7d7aea62cfb3f52060509382f
W7210848832,160124,base,27,2015,"Kansas Farmer, v. 52, no. 37 (September 12, 1914)",catalog_description_kansas,67447df62f22ba890926b1996a183e7ae14e66aaad49e95a6c77d458189cbace
W2331268080,160477,base,27,2005,A comparison of the treatment costs of leg ulcers in the primary versus specialized care,doi_error_text,a12d03d2eef7d4030b6887c5a65e988e7e040b197d970de41d9ea42a2ac93c1a
W2069526268,175910,base,17,2005,Reliable Haptic System for Collision-free 5-axis Tool Path Generation,journal_description_cad,4fce5f30c805bf587a39169d0f62cc8960083c7b7de3faba17c238077b9dbc80
W4232996757,178863,base,22,2015,Spectrum Efficiency and BER Analysis of Massive MIMO Systems with QR-RLS Channel Estimation Technique,journal_description_ijcse,6b74905a213f5f9ce34140ad61bd9fba750aef2b5a919a7c5fccf696e37e7909
W7211839844,180525,base,27,2015,"Kansas farmer, v. 23, no. 21 (May 27, 1885)",catalog_description_kansas,8595348f7cbfb1bb98b4bcef5867fb50baa9eea35140479da31de8deef488847
W2896270732,185855,base,17,2015,"Interference Aware, Topology, Power and Flow Control Channel Assignment Algorithm for Multi-Radio Multi-Channel Wireless Mesh Networks",journal_description_ijcse,d1ef3e1a1bcefef97e438a7c97824468232162279ab8ed9c5f59f20bc6ffaed8
W2907370084,189149,base,17,2015,Detection and Isolation of Malicious Nodes for Selective Forwarding Attack in Wireless Sensor Network,journal_description_ijcse,4aa062f8696640d5bde261dcd4a2deec7bfdd640e9e7dd7c23a1b70e6ea40e18
W4381307788,196534,base,12,2005,Teaching Composition in Twenty-First-Century America: A Conversation with Samuel Adler,doi_error_text,a2c83da67c8e4009ca89e6908b86b0f1c9fb104b11683afb5092f4d61516d30f
W2330950971,196952,base,16,2015,"Solvent Evaporation Method and Crystal Structure of Thiophene-2,3-dicarboxylate",journal_description_asian_chemistry,ae4468ac6ce89344c416c0202561879d5e424cad4de1e7ce74ad16747aa69f8f
W3151458832,199234,base,22,2005,A System Prototype for Portable Wireless Medical Devices,doi_error_text,1abd1f2fee8408c69e12f58fb629dc168a13f22e11a090551f87aeff073e6d99
W3049474463,204112,base,33,2020,Feasibility Analysis of Teaching Reform of Computer-Aided for Environmental Art Design Course,journal_description_cad,03d1dd79a754d7c992df1e5996d8e51dedfb39ca5a5029ded7331627a4e323a5
W2334798137,207114,base,32,2010,Treatment-experienced patients: salvage interventions and switch strategies,doi_error_text,26a50da07526f70f17969c5e6195e6d483de94c34e0fca0861938dc2c9f16ee3
W7211005021,211292,base,27,2015,"Kansas farmer, v. 12, no. 40 (October 7, 1874)",catalog_description_kansas,cbf9fdc59e65f92dc6f307687e27f43d1ff32a268f15982d279be0b25726b841
W4255828140,222563,base,12,2000,10.1037/e545052009-004,doi_error_text,bc71cd1ec8cb91cc061a9b891ef198ded592685575ccc82f146dee0d29e0a23e
W4226395545,224202,base,17,2020,Simulation and Testing of Deterministic Finite Automata Machine,journal_description_ijcse,ce1e9a41696ef9611e7381c296d24f59903399bb48ec409f065d9c41a59dac79
W2112295463,225829,base,31,2010,"Star formation in H i tails: HCG 92, HCG 100 and six interacting systems",library_description_americanae,71fdc5ffcec7a10f9f4c1c92132e77069c81d90b5e88cdcc6a2becae69d90061
W4388488013,230196,base,22,2020,3D Modeling and Design Effect Optimization of Ceramics Using Virtual Reality,journal_description_cad,436d5961fcafe37a47d5ba8cb6595aa6fd9087149b915c41538c560813525156
W2972662996,244071,base,27,2015,A Survey on Feature Extraction Methods in Retinal Fundus Images for Diabetic Retinopathy,journal_description_ijcse,b6e119b9f2b5e0d69da20b8720fd0eeb1343e7a1bd4342d109a6c0c4f3a82cfa
W1965618007,244291,base,35,2005,An Adaptive Region Growing Method to Segment Inferior Alveolar Nerve Canal from 3D Medical Images for Dental Implant Surgery,journal_description_cad,d5aa6ab9ffa3de08b3959de1d8e46203c6afad8d1561192af481b0991a8444f3
W2515594026,246000,base,13,2015,An Improved Economical Process for Preparation of Apremilast and Identified their Impurities,journal_description_asian_chemistry,2b8f15960e1552c98f942d127bc6b121dbc1462040247d0be7b28305f625db41
W4255859836,246935,base,22,2005,Switched Reluctance Motors Drive for the Electrical Traction in Shearer,doi_error_text,809eda303f49d8748459b98b24e258a0456e4af4d599c761d1803d75a68e10a8
W2898378479,248649,base,27,2015,HPV vaccination is fundamental for reducing or erradicate penile cancer | Opinion: NO,library_description_americanae,ae3c4c9a1af95fe4283f6dfbac3e375651f38c465b485fc455457e6f143696f0
W4407445617,249339,base,17,2020,"Tackling Imbalance Datasets Methods, Techniques and Comparisons",journal_description_ijcse,87c1fd05f90943d8a60972ea4d0d6192ea1e207e373cb7657ce256f8ef85fa46
W4291281917,249638,base,20,2010,"Counting Emigrants’ “Returns” to Italy at the Beginning of the 20th Century: Statistical Conventions, Economic Liberalism and Public Policy",library_description_americanae,1d1f933d4e168922d3714018ef013bca388ee6e12c40c29d94649031939e89a5
W2973015170,254110,base,17,2015,Progressive Visual Secret Sharing Scheme for QR Code Message,journal_description_ijcse,bf4934d395a1ce7e22dedde37fb886c11203c48807054bf40d7ccb19f129dddc
W3146986291,254923,base,17,2000,The cellular automata network compiler system: modules and features,doi_error_text,8d6326b72e68069d54486c70342f9ceb4eb83e51afba6493e7f3088006ca9c70
W7211286984,255392,base,27,2015,"Kansas farmer, v. 18, no. 34 (August 25, 1880)",catalog_description_kansas,a9650a192be6e20c4e9f104ba96469a4f71d4db793378aac6f513f6da929a6d5
W7211537240,256747,base,27,2015,"Kansas Farmer, v. 37, no. 20 (May 18, 1899)",catalog_description_kansas,1db7940966c76ee43c8bb5d7a00cd4ea93b2301625d8ee2e9c3d8561d28b2b19
W4254037785,260966,base,12,2000,10.1037/e425202008-006,doi_error_text,4170e1cf19394891ec5ebf1076f08833dc57de3ab38294e058d97f99dd32b458
W4404738856,261870,base,22,2020,Adaptive Assembly Adjustment Strategy for Optical Systems Based on Digital Twin,journal_description_cad,2253db02dbcdf6d11cfbaeff9377451f18d0479083e06830a5ee5f0ae2214856
W2600246942,263142,base,25,2015,Solid-State Synthesis and Thermochromism of Salicylidene Dinitrophenylhydrazine Derivatives,journal_description_asian_chemistry,7692f74c0879ac4c0040f88961ab966e2f50383e425bd9a8f93e48e188bbe955
W2033000606,267412,base,23,2000,"Stratigraphic framework of Rio do Sul and Rio Bonito (Triunfo Member) formations in the Hercílio river valley (SC), Paraná basin (Early Permian)",library_description_americanae,81313c3b6f89dedf3921111ceafa4d835194047d80fd55827b4e7653fceaeb58
W4253153754,267427,base,22,2005,Design of 2-Dimension Sparse Arrays using an Improved Genetic Algorithm,doi_error_text,03791c8fb8e72e74d94ba73efc2b2db98e1daf5215a987ce5132cca5a80b22dd
W2316147737,272056,base,27,2015,"Hydrothermal Synthesis and Crystal Structure of Thiophene-2,5-dicarboxylate Cobalt(II)",journal_description_asian_chemistry,d7feb63f94a2c520a7354be76a3ffc6ee226add22cc47d5d960f9b3eeb3e4f67
W1975255848,273202,base,36,2000,Concepts and approaches in the evaluation of health promotion. Dilemmas in the evaluation of health promotion: how should Brazilian scientific output be oriented?,library_description_americanae,e52391d3c01cf490d16744894df8292c28879e67bb773e1a1887e0470aa9e812
W4248785581,273603,base,22,2005,A Novel Multi Chip Module Unifying Transmitter And Receiver At 51 Ghz,doi_error_text,a14b7335621dbaa490c970ddc621f87c2770b7f9ef2e8bcdfa96bed41f292fb6
W4229448598,274840,base,12,2000,10.26419/res.00514.064,doi_error_text,5efd5e2e8e7eabc685c77c723dadd00d67ad59693395a918d2ba49c40ac34252
W2328096478,285393,base,23,2010,Photolysis of Phenanthrene on Soil Surfaces Under UV-Irradiation,journal_description_asian_chemistry,908770ae89eca2ef30406499b809853adeb1067bc080d0a2b5f43a8d31ce309e
W4283737933,291776,base,22,2020,Automatic Algorithm to Design Bespoke Teeth Whitening Trays,journal_description_cad,29443eafb080e4a9349f1a09a70767a65b4208f28ab4293c0ea6859ad406e7ae
W4241988357,292749,base,18,2015,A proposed model,doi_error_text,ef9647322d6e8a0e3c927735736939e07a9a7803959fc06ae64f620940814546
W1980479994,296955,base,27,2005,Body mass index affects time to definitive closure after damage control surgery,library_description_americanae,04a1abd63b12ecc35e7af9ceb59de5d57e3e00fcf692841994a19eaf671c8b6c
W4233315048,300074,base,20,2000,"New editors appointed, 2004-2009.",doi_error_text,7736c620e0b7d2171cacc5db99f946b2f1c69c0c2a7d42014918d40cdc6fa6a1
W7210904470,312421,base,27,2015,"Kansas farmer, v. 19, no. 41 (October 12, 1881)",catalog_description_kansas,1e4eec76d73579335315a87fcecd2c90d97cd4d746b47c1ff028f43f86f7b250
W4401108217,316810,base,32,2020,Computer-Aided Multimodal Fusion in Product Creative Design,journal_description_cad,2a1c308101520da93858b4e90c14f305deea6b6fff570b3c2b3a9d22b10b4ad6
W2006616301,317313,base,11,2005,"First record of Schizopyga Gravenhorst (Hymenoptera, Ichneumonidae, Pimplinae) from Brazil and a description of a new species",library_description_americanae,dca06bd9be0c6fc2e1458329e393609e75112034e784a079f3b111963b0d8dde
W2325017214,320466,base,16,2015,Preparation and Characterization of Platinum and Rhodium Nanoparticles Stabilized by Functional Polymer Microspheres,journal_description_asian_chemistry,6d66a168cd10dc960ac28cd2c7dc472bdbbaf8771ddef4e24e3d216197ad53a1
W2317373434,322480,base,11,2015,Determination of 57 Pesticide Residues in Chinese Herbal Medicines Using Online Gel Permeation Chromatography-Gas Chromatography-Mass Spectrometry,journal_description_asian_chemistry,3f98008d8d89c2fa0278ff3561882008436cc459497e0e00f20e93e239f1a8ab
W4200610218,323813,base,14,2020,Construction of a Smart Tourism Service Platform based on the Internet of Things under Computer-Aided Technology,journal_description_cad,f896be117713e4c85a8f285a7eb7d7a50c650143b870716349254d328439c406
W4231415063,327044,base,12,2000,10.1037/e417272008-013,doi_error_text,7b93be08fb89fac0c58181c306eb34bd4f2b952bf1bca1dcbdd72ed5120f45d5
W2044632318,327563,base,27,2010,Varenicline: the risks of over-the-counter sales in Brazil,library_description_americanae,d8ccdffea832b3ca1322505c8bf453b52c3c417118bcd526fe7a1b31f6f501e8
W4232451583,327681,base,27,2005,Melanoma,doi_error_text,daa58b2f2e29c165e7f92297af953a874cc90b25b12fc13d5ba98d9dddb990e4
W7211289022,327913,base,27,2015,"Kansas farmer, v. 13, no. 50 (December 15, 1875)",catalog_description_kansas,535082360f9fc535af10ce2e114d07199443eb1c87b139e18334d8a11d2010ce
W2972872684,328309,base,17,2015,Child Abusing and Reporting System,journal_description_ijcse,36fdacff6bab6db3ed9c9eff31698592e1bb35568e11724c3a4ccbdb48124e88
W2331053694,329026,base,27,2010,Hepatitis C treatment with a focus on HCV protease inhibitors (Part Three),doi_error_text,bb9ca465104d4ef7d1a7d9c5047ad190083dbf45ed98aaf16e0e2f9440521823
W7210889701,330094,base,27,2015,"Kansas farmer, v. 36, no. 41 (October 13, 1898)",catalog_description_kansas,c67edf57b4546a1d3eeeeae1dbd34fd66445bbc5094c391b4a766fcfbc8bef4e
W3149023054,331117,base,20,2005,Analysis of IL6 Signal Transduction Model using Reduced Rank Regression,doi_error_text,d92e88e187df46af9417e78344ea964a57f45c8ee9847f3147d4a2f9c7d49c0f
W2927051206,332249,base,17,2015,A Review on Human Activity Recognition System,journal_description_ijcse,2e0b7b85531bbcb7818af3edceb6ad0f4a9b793296a1fdc5c17867f0d6220a45
W2004081018,332763,base,22,2005,A Computational Geometric Solution of the Kinematic Registration Problem Using the Bisecting Linear Line Complex,journal_description_cad,5442a6725af4be4efc8acb884a4332fb55cc30d4d193a5a6484cd797f6aa7c05
W7210839701,349973,base,27,2015,"Kansas farmer, v. 27, no. 19 (May 9, 1889)",catalog_description_kansas,483fb3b038d8384bb4c654eb127e826bbf6a2b6b310d27dab2f0258ad017ef99
W1646778491,351322,base,20,2000,"How though should you be inflation targeting, fiscal and multiple equilibria",library_description_americanae,9732bae7ca85d306b2a6ea17aace826aed7b34e49862a35e1531467246c04ecf
W2095494576,352173,base,23,2010,"Steps towards an integrated eco-economy: the case of Randers, Denmark",doi_error_text,cec401f098938232bd43a4b598b8249e4ede2af3f996b56e8d457f2d7de6565d
W7210490509,352243,base,27,2015,"Kansas farmer, v. 34, no. 32 (August 6, 1896)",catalog_description_kansas,dc2253078aeb38f5181f95ed2ffa52f9d32d8227b85198d97bfb9ebabe020a36
W4236657021,356228,base,12,2000,10.1037/e608692011-001,doi_error_text,125dbde3038352283edb8c95a7427e740f9312249535dfc396979c9dccfe95be
W2045849322,363013,base,13,2000,New Records of Orasema xanthopus (Hymenoptera: Eucharitidae) and Solenopsis daguerrei (Hymenoptera: Formicidae) from Brazil,library_description_americanae,21edd479514a314820a78162300517d8d271570554715feab3b44497aabb6c8f
W4236581785,365374,base,22,2005,Modeling and Compensation of Pivot Nonlinearity in Hard Disk Drives,doi_error_text,559357e3f55c164a87d1e2e924f3f9aba3ab249d4142f37a9234b1078c9e21c2
W4253078465,367498,base,12,2000,10.1037/e591592011-001,doi_error_text,e2acbd893343a87f38f5ac52adb2cd107e1bad587376d13e6317385637afeb50
W4237992619,370839,base,20,2015,Test Conference Paper,doi_error_text,58980eff99b51333dae214646a0dacf9977d9304840599c17d4c4c72851968f4
W4243737901,371071,base,22,2015,A New Log-aesthetic Space Curve Based on Similarity Geometry,journal_description_cad,06cf12c9707da6c90523ea22f332387b39c217848f8cdce6fb46840163dc0397
W4390875008,373077,base,17,2020,Transformative Optimization of College Swimming Courses Through Virtual Reality Solutions and Nonlinear Data Analysis in the Artificial Intelligence Era,journal_description_cad,d5a1ad0d0c69d89beec4708b9f2dd11f1c14d039944c5ae077c71cc33d50129c
W2972673870,381500,base,22,2015,Analysis of Energy Efficiency using Novel Algorithm Hierarchical Clustering with Map Reduce in Wireless Sensor Network Environment,journal_description_ijcse,531c7a621bc775bf9f632fdb2f21bcdc617e927431a813e4f61ac6ae371a3cfa
W4293162569,381902,base,22,2020,Design Optimization of Complex Products Based on CAD Multi-Objective Genetic Algorithm,journal_description_cad,108842c925a654376778bd0e9a7e3f65421698c4a43dd3c97619cccbb5f4534e
W2324176145,384900,base,22,2015,Degradation of Thiosulfate in the Process of Gold Leaching,journal_description_asian_chemistry,5e45c0c4e061deb9c1f388f0911238f6a647184bc955e3da03a9bf49e98f4a67
W2031242736,384956,base,27,2010,"One case, two lessons: an aberrant internal carotid artery causing acquired cholesteatoma",library_description_americanae,f18f69b969710ad73b7d760c657f7db5845069a15bd6bff655f75b595a24b434
W2095180864,390049,base,12,2005,"Identity and Everyday Life: Essays in the Study of Folklore, Music, and Popular Culture",doi_error_text,4abc2b42e72ab9cc64c68a2af009ec5e61c05f4b1e2fb4370c367da24cb496f1
W1490045542,392583,base,13,2015,Absence of the Parasite Escovopsis in Fungus Garden Pellets Carried by Gynes of Atta sexdens,library_description_americanae,25bf813f5a1d4bfa80feca9b74a29ba4ee73333b80c3d5c84a7c8aff21e9d742
W7210890250,392966,base,27,2015,"Kansas farmer, v. 24, no. 22 (June 2, 1886)",catalog_description_kansas,fd58fd7f7e7c1c75bb986344a5df2e012838235b65a3bdaacaef01f96e3136a3
W4285485241,393734,base,23,2020,IOT Based Smart Irrigation System using Cisco Packet Tracer,journal_description_ijcse,5d4b148e16064e9637d51ec71ea65b49dad0b074228eca0c8719b6e807ff341a
W4400605323,397855,base,17,2020,Augmented Reality Enhanced Human-Computer Interaction and Aesthetic Experience in Product Design and Exhibition,journal_description_cad,a161535ccb4815ae1889d4d1bed177fa89d0918003bb1ea24468ed78c8f584ef
W4247775626,400543,extra,12,2000,10.1037/e614532007-001,doi_error_text,12e5f06dae31b7fe9e0a0f9eb0a0dffad945d21893113b2c7dd8978887bc8656
W4210861647,400670,extra,12,2000,10.17856/jahs.2014.12.129.243,doi_error_text,06c893373b58cf3a31a47acf004f54c01a5c8860d8d61ee3f78fe3052c92395a
W4214728654,400876,extra,12,2000,10.7788/boehlau.9783412213565.19,doi_error_text,165beadf82c3092acda722362c374ef645cf3020d9f1291e32f9f1f6c7768cf4
W4240025441,400981,extra,12,2000,10.1037/e505932009-003,doi_error_text,e33118028dbc13f74d6034c6af4af1919f5f02fb9f9e7b84ef2c2322bdadbb75
W4237235633,401177,extra,12,2000,10.1037/e687912011-001,doi_error_text,c4bcb75812a51dfc66e9f1d870a5859ae0f121c3d05c0a58906bdae42dc90da1
W4252474879,401262,extra,12,2000,10.1037/e559222006-018,doi_error_text,8d453e95a0b0318b12fe94c33eda743e2670612cfb9beb70d9dfeac4a7a6fbb7
W4249103558,401352,extra,12,2000,10.1037/e635382007-006,doi_error_text,fe69e1e3e59522598b1d9bc7a968754e0f22ff4b7da1aa3650e3ab01b7f3d757
W4246079549,401435,extra,12,2000,10.31030/2856283,doi_error_text,0a76e56a907cfc602d631f5f966a1bdeb95b552ad8c34fdba5f9fbc6b97913fa
W4229742750,401518,extra,12,2000,10.1037/e542242006-001,doi_error_text,a349636fa49cb88ddd332b3538683b752c225a31f94337c4589aed3f2f9fb070
W4250033554,401658,extra,12,2000,10.1037/e670282012-189,doi_error_text,d966997f7cb7f4f8af50cd43838546246808f191db88e03e8d13508d56bd9fea
