work_id,cohort,field_id,year,title,abstract_words,flags
W2908305534,base,22,2018,Sensor Technology in Autonomous Vehicles : A review,75,"[""abstract_50_79""]"
W2972757282,base,22,2019,RF MEMS Modules: A Multiphysical Design Methodology Based on System Performance Requirements,67,"[""abstract_50_79""]"
W2146338096,base,22,2014,A notched dielectric resonator antenna unit-cell for 60GHz passive repeater with endfire radiation,64,"[""abstract_50_79""]"
W4353100260,base,14,2023,A‘Soft Sculpture’with the Use of Shaping Effects of Light-focusing on the researcher’s fiber art works-,197,"[""many_non_ascii_letters""]"
W2349294460,base,23,2001,The Course of Document Index Should be Offered in TVU,51,"[""abstract_50_79""]"
W3205685893,base,13,2021,Toward a postbiotic era of microbiome science: Opportunities to advance immunotherapies for hepatocellular carcinoma,76,"[""abstract_50_79""]"
W2284234325,base,31,2010,INDIRECT SEARCH FOR EXCITED ELECTRONS AT LINEAR COLLIDERS,62,"[""abstract_50_79""]"
W2951918683,base,16,2009,Switching the Chemoselectivity in the Amination of 4-Chloroquinazolines with Aminopyrazoles,70,"[""abstract_50_79""]"
W3137727170,base,24,2021,Morphometric Characteristics Of The Spleen Of White Rats In Normal And In Chronic Radiation Disease,76,"[""abstract_50_79""]"
W2540728815,base,16,2005,Understanding Australian Illicit Drug Markets: Unsupervised Learning with Independent Component Analysis,70,"[""abstract_50_79""]"
W2550120573,base,27,2016,A TSLP-complement axis mediates neutrophil killing of methicillin-resistant Staphylococcus aureus,64,"[""abstract_50_79""]"
W2374492092,base,20,2002,Research on personal multiperiod consumption model,62,"[""abstract_50_79""]"
W2772627147,base,31,2017,Perturbative unitarity bounds on di-boson scalar resonances,54,"[""abstract_50_79""]"
W3209395121,base,16,2021,Production of Pigments on the Basis of Titanium Tetrachloride,51,"[""abstract_50_79""]"
W2766807446,base,22,2017,Nonstationary transversal vibrations of thermoelastic web with a constant velocity motion,79,"[""abstract_50_79""]"
W2418851693,base,27,2012,[Effect of combined hormonal oral contraception on the somatic and psychic status of women of reproductive age].,68,"[""abstract_50_79""]"
W3203183458,base,13,2013,AA amyloidosis — a curable disease. Case reports,75,"[""abstract_50_79""]"
W2147037229,base,11,2017,A review on Thevetia peruviana,79,"[""abstract_50_79""]"
W2035528015,base,22,2012,Optical fiber sensor based on a radio frequency Mach–Zehnder interferometer,78,"[""abstract_50_79""]"
W2369680805,base,33,2007,Design of Docking Interface and Route of Higher Vocational Colleges' Campus Culture and Enterprise Culture,59,"[""abstract_50_79""]"
W4225346747,base,20,2022,The Current State and Prospects of Development of the Network of Public Roads of Uzbekistan,78,"[""abstract_50_79""]"
W2211303118,base,11,2015,Vers une agroécologie biodiverse : enjeux et principaux concepts mobilisés,63,"[""abstract_50_79""]"
W1905757699,base,27,2001,[Chronic arterial mesenteric ischemia: Doppler color ultrasonography demonstration of collateral flow].,79,"[""abstract_50_79""]"
W2179080499,base,12,2015,Curating Exhibitions in Academic Libraries: Practical Steps,75,"[""abstract_50_79""]"
W2350966851,base,17,2004,The Implementation of Tutorial System for University English Majors,79,"[""abstract_50_79""]"
W2372716816,base,22,2005,Penalty Function Interval Method for Solving Constrained Continuous Minimax Problem,77,"[""abstract_50_79""]"
W2383837729,base,17,2008,"Geological characteristics of the Tonglushang Pb-Zn deposit with its prospecting direction,Northwestern Guizhou",70,"[""abstract_50_79""]"
W4225873961,base,22,2022,A Study on the Evaluation Method for the Fundamentals of Engineering Examination for Professional Engineer,95,"[""many_non_ascii_letters""]"
W2114523674,base,22,2011,A new thermomechanical fracture analysis approach for 3D integration technology,55,"[""abstract_50_79""]"
W2094452961,base,27,2012,The Challenges of Dialysis in Systemic Sclerosis: Between the Devil and the Deep Blue Sea?,59,"[""abstract_50_79""]"
W2392948052,base,22,2004,Application of FEA in Design of Radial Internal Clearance for Four Row Tapered Roller Bearing with Tapered Bore,59,"[""abstract_50_79""]"
W3016911786,base,33,2019,Duplication as lack of the normative adjusting (on the example of separate acts which regulate the contract of insurance),67,"[""abstract_50_79"", ""many_non_ascii_letters""]"
W2083188144,base,22,2011,Thermodynamically based multiphysic modeling of ionic polymer metal composites,79,"[""abstract_50_79""]"
W2080935859,base,22,2009,Hybrid Differential Algebraic Equations approach for modeling interconnected power systems,69,"[""abstract_50_79""]"
W3035883289,base,33,2020,Canton Ticino And The Italian Swiss Immigration To California,67,"[""abstract_50_79""]"
W2981382061,base,22,2019,Influence of temperature on optical properties of Cd3In2Te6,71,"[""abstract_50_79""]"
W2363840513,base,23,2008,Research Progress on the Detection Methods of Cyanophycean Toxin,69,"[""abstract_50_79""]"
W3040734355,base,27,2020,"Morphine in primary percutaneous coronary intervention—No pain, questionable gain",63,"[""abstract_50_79""]"
W2362951679,base,22,2012,On static analysis of asphalt road surface structure with cracks,74,"[""abstract_50_79""]"
W2109034064,base,17,2009,Logical formalization of social commitments: application to agent communication languages,69,"[""abstract_50_79""]"
W2807499290,base,17,2018,Enhanced Modulation Classification Algorithm Robust to Phase and Frequency Offsets,98,"[""many_non_ascii_letters""]"
W2313305219,base,17,2014,Two-way quantum cryptography with continuous variables: unconditional security and performances at different wavelengths,56,"[""abstract_50_79""]"
W1996967396,base,26,2012,Non-orthogonal Wigner-like mapping,50,"[""abstract_50_79""]"
W4292652945,base,30,2000,Chemical constituents of Piper mullesua,78,"[""abstract_50_79""]"
W2383281265,base,22,2005,Design of high-order all-pole CCCII band-pass filters,69,"[""abstract_50_79""]"
W2274798875,base,22,2015,REPRESENTATION OF SPACE IN CHILDREN'S DRAWINGS,69,"[""abstract_50_79""]"
W1976856638,base,25,2007,Catalyst-Free Surface-Roughness-Assisted Growth of Large-Scale Vertically Aligned Zinc Oxide Nanowires by Thermal Evaporation,79,"[""abstract_50_79""]"
W2382564413,base,18,2003,The analysis on Asset Management Company's operation model,65,"[""abstract_50_79""]"
W2381897104,base,22,2005,Novel wellbore trajectory prediction method based on support vector machine,69,"[""abstract_50_79""]"
W2625658549,base,14,2017,Bridging the Gap: Underserved Populations and Technology,61,"[""abstract_50_79""]"
W2353082112,base,33,2002,On the Development of Value-chosing Tendency of Contemporary University Students,50,"[""abstract_50_79""]"
W4212982403,base,12,2021,A Study on the First Spread of the Syro-Oriental Church to China,222,"[""many_non_ascii_letters""]"
W4379534349,base,11,2023,"Two new Ptychoptera Meigen, 1803 (Diptera, Ptychopteridae) from the Western Palaearctic",70,"[""abstract_50_79""]"
W2139169222,base,22,2014,Solvability of a Model for the Vibration of a Beam with a Damping Tip Body,74,"[""abstract_50_79""]"
W4386488672,base,26,2023,On commutativity of quotient semirings through generalized derivations,50,"[""abstract_50_79""]"
W2039691502,base,17,2012,MATHEMATICAL FACTS IN A PHYSICALIST ONTOLOGY,63,"[""abstract_50_79""]"
W4392656467,base,27,2024,Successful Surgical Repair of a Spontaneous Arterial Aneurysm in an Inland Bearded Dragon (Pogona vitticeps),77,"[""abstract_50_79""]"
W2371597341,base,26,2004,Global Convergence of Trust Region Algion Algorithm for Nonsmooth Optimization,57,"[""abstract_50_79""]"
W4399374448,base,26,2024,Solution of Some Problems for the String Vibration Equation in a Half-Strip by Quadratures,56,"[""abstract_50_79""]"
W2356385143,base,16,2014,Empirical Bayes Test for the Continuous One-parameter Exponential Family with Error of Measurement,64,"[""abstract_50_79""]"
W4394721820,base,12,2024,A Case Study on the Current Status and Differences in the Implementation of Online Art Museums in Korea and USA,176,"[""many_non_ascii_letters""]"
W3043036683,base,32,2020,Clarifying what forward flow is (and isn't): Reply to Rossiter (2020).,67,"[""abstract_50_79""]"
W2418351239,base,27,2016,"Endothelial Cells, Ankaferd Hemostat, and Estradiol",67,"[""abstract_50_79""]"
W4226478774,base,26,2022,𝔸1–connected components of ruled surfaces,75,"[""abstract_50_79""]"
W3171982092,base,25,2021,Innenrücktitelbild: Multinuclear Ag Clusters Sandwiched by Pt Complex Units: Fluxional Behavior and Chiral‐at‐Cluster Photoluminescence (Angew. Chem. 19/2021),55,"[""abstract_50_79""]"
W2376622015,base,33,2005,On Public Prosecutorial Effects,59,"[""abstract_50_79""]"
W4320080867,base,31,2022,Adaptive X-Ray Optical Elements Based on Bending Piezoactuators: Possibilities and Prospects of Practical Application,61,"[""abstract_50_79""]"
W3081367418,base,22,2020,Procedure to optimize the intercarrier spacing in superchannels impaired by the cascading of WSS-based ROADMs,77,"[""abstract_50_79""]"
W2385293298,base,17,2011,A music works are in the musical content and the non-musical content,53,"[""abstract_50_79""]"
W2036225572,base,16,2002,"(±)-(2,3,4,4a,5,6,7,8-Octahydro-2-oxonaphthalen-1-yl)acetic acid: hydrogen-bonding pattern of the monohydrate of an unsaturated bicyclic γ-keto acid",66,"[""abstract_50_79""]"
W4310437734,base,13,2022,A Diagnostic Guide for Myrtle Rust,77,"[""abstract_50_79""]"
W2413254213,base,27,2016,Lower Urinary Tract Symptoms Secondary to Mass Lesion of the Brain: A Case Report and Review of the Literature,77,"[""abstract_50_79""]"
W2179520851,base,17,2001,Translating fork specifications into logic programs,73,"[""abstract_50_79""]"
W2089767565,base,22,2004,Hybrid GSM/FE analysis of phased arrays of arbitrarily shaped apertures fed by rectangular waveguides,75,"[""abstract_50_79""]"
W7134381836,base,22,2009,LIMIT posters,60,"[""abstract_50_79""]"
W3129813277,base,27,2021,"Precursors to BPD in high‐risk youth: Depression, CD, and drug use",57,"[""abstract_50_79""]"
W2654435097,base,33,2014,Between utilitarian and autonomous: Polish opera in the second half of the nineteenth century,58,"[""abstract_50_79""]"
W4205268744,base,33,2021,The Formation of a Key Model for the Customized Adulthood Lifelong Education for the Developmental Disabled in Connection with the School-Age Transition Education: The Basic Study,95,"[""many_non_ascii_letters""]"
W2199113002,base,12,2012,Jackpot! You Lose?: Molding a Hybrid Approach to Demonstrate that Marketability Restrictions on Lottery Winnings Warrant Departure from IRS Annuity Tables When Valuating an Estate,60,"[""abstract_50_79""]"
W2053709003,base,22,2007,Thermal Characterization of Porous Silicon Micro-Hotplates using IR Thermography,69,"[""abstract_50_79""]"
W3214600432,base,12,2014,"Hawkey, Allan Charles, 1941- :Maintenance costs. 5 February 2014",55,"[""abstract_50_79""]"
W4386400825,base,27,2023,MyHelmet: A Myecelium-Based Biodegradable Bicycle Helmet that Protects Older Cyclists and the Environment,53,"[""abstract_50_79""]"
W2410229721,base,20,2000,Ozbrojené konflikty na území bývalé Jugoslávie,63,"[""abstract_50_79""]"
W1585508981,base,31,2012,Spectral Characterization of Bright Materials on Vesta,65,"[""abstract_50_79""]"
W4206892547,base,26,2022,Some representations of real numbers using integer sequences,55,"[""abstract_50_79""]"
W2253501590,base,17,2015,Development of a Game console with High Level Hardware description Language NSL,55,"[""abstract_50_79""]"
W3211218536,base,27,2021,Cold brew coffee – a microbial hazard?,59,"[""abstract_50_79""]"
W2349027231,base,22,2009,Research on solar-powered wireless power lines icing monitoring system,65,"[""abstract_50_79""]"
W40234351,base,12,2002,Debate sobre la teoría del arte,73,"[""abstract_50_79""]"
W2441348465,base,27,2002,[Intracranial and intraorbital meningioma ].,54,"[""abstract_50_79""]"
W4237271228,base,32,2007,School Counselors and the Cyberbully: Interventions and Implications,56,"[""abstract_50_79""]"
W3029493479,base,28,2007,Two dimensional gel electrophoresis profile of hippocampus in rat depression model,100,"[""many_non_ascii_letters""]"
W2581473480,base,22,2016,A Simple Phase Shifting Technique for an Injection Locked Oscillator,73,"[""abstract_50_79""]"
W2084850310,base,27,2007,Do Probiotic or Synbiotic Preparations Alleviate Symptoms Associated With Constipation or Irritable Bowel Syndrome?,57,"[""abstract_50_79""]"
W2383206040,base,33,2006,Investigations of Mycorrhizal fungi of Cymbidium lowianum,79,"[""abstract_50_79""]"
W2320140927,base,32,2013,Dependence of individual style of activity in table tennis on typological properties of the identity of athletes,146,"[""many_non_ascii_letters""]"
W4406615821,base,33,2024,MOTIVATION OF LIBRARY STAFF: THE ROLE OF NON-MATERIAL METHODS,65,"[""abstract_50_79""]"
W2607493141,base,33,2017,A Perspective Study of the Theological Aesthetics considered in Convergency Engineering Technology,268,"[""many_non_ascii_letters""]"
W4387718351,base,12,2023,Is JTB Knowledge Hopeless?,66,"[""abstract_50_79""]"
W2109316590,base,31,2011,Recent technology developments in the sonnet suites of planar electromagnetic analysis software,61,"[""abstract_50_79""]"
W2911783910,base,17,2018,Graph Theory in Systems and Controls,70,"[""abstract_50_79""]"
W4229508185,base,23,2008,Sustainable Food Consumption: Trends and Opportunities,56,"[""abstract_50_79""]"
W1567138333,base,27,2015,A wireless sensing system for continuous monitoring of intracompartmental pressures,67,"[""abstract_50_79""]"
W7211838428,base,16,2014,"O. A. C. Review Volume 8 Issue 2, November 1896",64,"[""abstract_50_79""]"
W2540707676,base,17,2007,Hybrid MCM Implementation for FIR Filters in FPGA Devices,69,"[""abstract_50_79""]"
W826869987,base,20,2007,Presidential Immunity: A Survey of United States Cases,64,"[""abstract_50_79""]"
W2318791678,base,23,2012,A comparison study on the secondary production of macrobenthos in different wetland habitats in Shenzhen Bay,52,"[""abstract_50_79"", ""many_non_ascii_letters""]"
W2801008720,base,35,2018,"Analysis of longevity and success rate of fixed, removable, and implant prostheses treated in Korea",161,"[""many_non_ascii_letters""]"
W1970637923,base,27,2002,World summit hits hurdles on opening day,60,"[""abstract_50_79""]"
W2366187960,base,33,2010,On Traditional and Online Reading in the Age of Internet,56,"[""abstract_50_79""]"
W2121666308,base,31,2008,"Long-range interactions of copper and silver atoms with hydrogen, helium, and rare-gas atoms",78,"[""abstract_50_79""]"
W3209064059,base,17,2021,Accelerating a Deep Learning Application by Parallelization and Pipelining on Heterogeneous Processors,117,"[""many_non_ascii_letters""]"
W3156431026,base,27,2020,A RARE PRESENTATION OF CONGENITAL INFANTILE FIBROSARCOMA OF THE PELVIS- IMAGING WORK UP WITH HISTOPATHOLOGICAL CORRELATION.,58,"[""abstract_50_79""]"
W3008914912,base,17,2019,Commercial secrets as an information with restricted access: analysis of legislative practice,79,"[""abstract_50_79""]"
W2405041187,base,22,2009,S1904-1-4 Temperature Meassurements inside of a Prone in Arc Flow and its Calculation,68,"[""abstract_50_79""]"
W2156498921,base,22,2011,Room temperature detection of trace level NO2 gas using SnO2 nanoclusters,78,"[""abstract_50_79""]"
W2141641352,base,11,2008,CREDIT MARKET IMPERFECTIONS AND THE DISTRIBUTION OF POLICY RENTS: THE COMMON AGRICULTURAL POLICY IN THE NEW EU MEMBER STATES,70,"[""abstract_50_79""]"
W2083552189,base,12,2011,Trailblazers in Solid-State Electronics [Historical],51,"[""abstract_50_79""]"
W3021418632,base,27,2017,Cardiac resynchronization therapy: Femoral approach,54,"[""abstract_50_79""]"
W2941332325,base,33,2010,"Conflict mediation as a tool of social prevention:Interethnic conflicts in the operational framework of the municipal police of Prato, Tuscany, Italy",69,"[""abstract_50_79""]"
W2353467508,base,21,2010,Design and Implementation of Centralized Control System for BOP of Tongmei Datang Tashan Power Plant,65,"[""abstract_50_79""]"
W2376992215,base,22,2011,On application of hydraulic movement invert trestle in tunnel invert construction,58,"[""abstract_50_79""]"
W2938472396,base,33,2019,Orthodox initiatives as social construction sites: passing historical fault,217,"[""many_non_ascii_letters""]"
W2901401980,base,26,2014,A higher-order nonlocal three-point boundary value problem for sequential fractional differential equations,54,"[""abstract_50_79""]"
W2804748609,base,25,2018,Nonlinear properties of CdSe/ZnS quantum dots colloidal solutions under one- and two-photon excitation by means of high-power ultrashort laser pulses,75,"[""abstract_50_79""]"
W4400635459,base,32,2011,Descemet's detachment: Apropos of a case,62,"[""abstract_50_79""]"
W2349403179,base,33,2012,"Wandering in Confucianism,Buddhism and Taoism:On the Metaphysical Thoughts of SUN Chuo in the Eastern Jin Dynasty",77,"[""abstract_50_79""]"
W2366882350,base,22,2008,Cubic B-spline interpolation for one-dimensional search method,53,"[""abstract_50_79""]"
W2001715602,base,27,2009,When knee pain is not osteoarthritis,55,"[""abstract_50_79""]"
W2609587164,base,22,2017,Analysis of charging stations for electric vehicles in Spain,74,"[""abstract_50_79""]"
W2376542076,base,22,2004,Application of SMS wireless system in water quality's monitor,57,"[""abstract_50_79""]"
W2381118569,base,11,2010,Research on the Effect of a Special Fertilizer for Transplanting Rice Seedlings,79,"[""abstract_50_79""]"
W3189169655,base,27,2021,Obesity and its homoeopathic management,69,"[""abstract_50_79""]"
W2952473969,base,16,2010,Rhodium-Catalyzed Domino Conjugate Addition−Cyclization Reactions for the Synthesis of a Variety of N- and O-Heterocycles: Arylboroxines as Effective Carbon Nucleophiles,62,"[""abstract_50_79""]"
W4307673349,base,17,2022,Training Framework for Passage Re-ranking based on Generating Adversarial Data,87,"[""many_non_ascii_letters""]"
W2363433101,base,22,2001,FUNCTION ON HIGH TEMPERATURE FURNACE WALL SURFACE IN RADIATION HEAT TRANSFER,59,"[""abstract_50_79""]"
W3180491200,base,23,2020,Conceptual basis of development of strategic directions of organization development,60,"[""abstract_50_79""]"
W2293133441,base,32,2012,Sensing happiness,79,"[""abstract_50_79""]"
W2372637682,base,11,2014,High yield seed-producing techniques of new hybrid rice combination “H liangyou 991” after tobacco cropping season,66,"[""abstract_50_79""]"
W2336562706,base,12,2013,Neo-realistic Features in Snow Child,74,"[""abstract_50_79""]"
W3030554967,base,27,2003,Rastelli repair for transposition of great arteries with ventricular septal defect,57,"[""abstract_50_79"", ""many_non_ascii_letters""]"
W2374396168,base,17,2009,A Brief Analysis of the Artistic Performance of Competitive Calisthenics Players,56,"[""abstract_50_79""]"
W1980946890,base,14,2003,Advertising montage: Two theoretical perspectives,75,"[""abstract_50_79""]"
W4378647400,base,28,2023,AUTISM SPECTRUM DISORDER AND SCHIZOPHRENIA – SIMILARITIES BETWEEN THE TWO DISORDERS WITH A CASE REPORT OF A PATIENT WITH DUAL DIAGNOSIS,62,"[""abstract_50_79""]"
W2386488671,base,36,2006,Discussion on Health Resource Allocation of Cadre Reset Institute in Some Province Military Area,63,"[""abstract_50_79""]"
W2391053624,base,33,2014,The Archaeological Research of Wei- Jin and the Northern Dynasty in Beijing,75,"[""abstract_50_79""]"
W2370165046,base,32,2006,Study on multiple development trend and function of rhythmic gymnastics,59,"[""abstract_50_79""]"
W2079125472,base,27,2008,Nitroprusside-Induced Acute Azotemia,71,"[""abstract_50_79""]"
W2951194521,base,26,2012,Cryptanalysis of matrix conjugation schemes.,59,"[""abstract_50_79""]"
W3196776234,base,27,2013,A brief introduction to fetal alcohol spectrum disorders,68,"[""abstract_50_79""]"
W2370860106,base,33,2008,Deviation between Knowledge and Behavior among College Students:An Analysis of Reasons,71,"[""abstract_50_79""]"
W2358097284,base,16,2000,Determination of Cyanide in Water by Isonicotinic Acid-Barbiturie Acid,78,"[""abstract_50_79""]"
W3140139846,base,11,2010,Ethylene-induced nitric oxide production and stomatal closure in Arabidopsis thaliana depending on changes in cytosolic pH,67,"[""abstract_50_79"", ""many_non_ascii_letters""]"
W2373564005,base,11,2004,"Advances in Research on Function, Biosynthesis and Metabolism of Ascorbic Acid in Higher Plants",66,"[""abstract_50_79""]"
W2002499678,base,20,2002,Maghrib‐EU integration and the world economy: quantitative estimates of the trade diversion effects,78,"[""abstract_50_79""]"
W2387347572,base,23,2011,Settlement of Nomadic Population:Engine for Developing Pasture Area —A Case Study of Gannan Pasture Area,79,"[""abstract_50_79""]"
W3032561232,base,33,2020,Research on English Teaching in Middle School under Blended Teaching,63,"[""abstract_50_79""]"
W2917295994,base,27,2019,DNA Tumor Viruses and Their Contributions to Molecular Biology,75,"[""abstract_50_79""]"
W1458616607,base,27,2012,Immune Responce In Mice Immunized With Live Cold-Adapted Influenza Vaccine In Combination With Chitosan-Based Adjuvants,54,"[""abstract_50_79""]"
W2377052205,base,33,2005,"On the Unity and Coherence in Writing,History and Land of Tourist Scenic Spots and Cultural Innovation",68,"[""abstract_50_79""]"
W1525899139,base,13,2001,Sequences Reveal Borrowed Genes,59,"[""abstract_50_79""]"
W1990042903,base,16,2003,"Reactions between Organomagnesium Reagents and Nitroarenes: Past, Present, and Future",52,"[""abstract_50_79""]"
W4411658959,base,11,2000,10.51847/qP3aVvy,78,"[""abstract_50_79""]"
W2388716578,base,17,2003,Design and Implementation of A Software Metrics Tool Based on Abstract Syntax Tree,79,"[""abstract_50_79""]"
W2006217650,base,31,2003,Long-wavelength emission from nitridized InAs quantum dots,72,"[""abstract_50_79""]"
W2966761777,base,11,2019,RoCoLe: A robusta coffee leaf images dataset,50,"[""abstract_50_79""]"
W2284042234,base,22,2013,Academy of Science of South Africa launches a mapping survey of life science research and diagnostic activity in South Africa : correspondence,60,"[""abstract_50_79""]"
W2112260495,base,22,2008,Differential dual-frequency antennas for wireless communication,61,"[""abstract_50_79""]"
W3013984393,base,13,2020,A role for keratins in supporting mitochondrial organization and function in skin keratinocytes,53,"[""abstract_50_79""]"
W2376044883,base,22,2002,Discussion on Protection Measures of Boiler Water Circulating Pumps During Chronically Shutting Down of the Boiler,52,"[""abstract_50_79""]"
W3044254843,base,33,2010,"Problems of terms: successfulness, productivity, potency, effectiveness of work activity in the field of occupational health of work",58,"[""abstract_50_79""]"
W2417830718,base,33,2010,The eight steps to an effective employee termination policy.,50,"[""abstract_50_79""]"
W2365971855,base,22,2011,Common quality problems and preventive measures for cast-in-place pile,51,"[""abstract_50_79""]"
W2386299049,base,12,2004,Analysis of the functions of multimedia in English language teaching,58,"[""abstract_50_79""]"
W2566659700,base,22,2016,Protective shock-resistant and vandal-proof materials and laminated glass composition,87,"[""many_non_ascii_letters""]"
W2106003434,base,20,2006,"Regulation, Competition, and Liberalization",52,"[""abstract_50_79""]"
W2353255958,base,33,2005,The literary “reecho” of Augustus's reign——citing Virgil's “Aeneid” as the example,69,"[""abstract_50_79""]"
W2922414630,base,27,2019,Protocol and Guidelines for Point-of-Care Lung Ultrasound in Diagnosing Neonatal Pulmonary Diseases Based on International Expert Consensus,74,"[""abstract_50_79""]"
W2444188995,base,14,2000,Are -Turn Mimetics Mimics of -Turns?,58,"[""abstract_50_79""]"
W2391911069,base,22,2004,Timing Control Methods for New CMOS Image Sensor with High Frame Rate and Wide Dynamic Range,76,"[""abstract_50_79""]"
W2349402016,base,33,2012,Analysis on the Problems in Chinese Dialogue Teaching Practice,78,"[""abstract_50_79""]"
W4298267240,base,18,2021,Asymptotically optimal tests for parametric functions against ordered functional alternatives,72,"[""abstract_50_79""]"
W2785720460,base,30,2018,"Copper- and Nickel-Catalyzed Cross-Coupling Reaction of Monofluoroalkenes with Tertiary, Secondary, and Primary Alkyl and Aryl Grignard Reagents",65,"[""abstract_50_79""]"
W2544704269,base,17,2003,Delay-dependent exponential stability analysis of delayed cellular neural networks,70,"[""abstract_50_79""]"
W2111596328,base,18,2008,A framework for integrated design of structural and controller parameters,75,"[""abstract_50_79""]"
W2529074152,base,22,2016,Fibre optic sensors for temperature and pressure monitoring in laser ablation: experiments on ex-vivo animal model,61,"[""abstract_50_79""]"
W2002790099,base,16,2013,Attachable Solvatochromic Fluorophores and Bioconjugation Studies,76,"[""abstract_50_79""]"
W2167336465,base,21,2009,State feedback linearization control of a grid connected photovoltaic interface with MPPT,77,"[""abstract_50_79""]"
W4254434026,base,12,2015,Convergence of parceling and lexical repetition in French and Russian newspaper texts,86,"[""many_non_ascii_letters""]"
W2405474577,base,27,2013,The Race to Eliminate Tuberculosis,63,"[""abstract_50_79""]"
W2349964380,base,33,2005,Varieties of the narrative structure: The aspiration and merits of the 4th generation of Chinese film,67,"[""abstract_50_79""]"
W2074135697,base,31,2011,"f-SYMBOLS, KILLING TENSORS AND CONSERVED BEL-TYPE CURRENTS",58,"[""abstract_50_79""]"
W3125412158,base,11,2020,Effects of Goami high-amylose rice on glucose and lipid metabolism in high-fat-high-sucrose-fed C57BL/6J mice,59,"[""abstract_50_79"", ""many_non_ascii_letters""]"
W2376340562,base,16,2001,Preparation of Dipping Solution of Nanometer Pormertic TiO_2Composite Membranes,57,"[""abstract_50_79""]"
W2296308476,base,33,2011,A Critical Work on Euro-American Centered Thoughts and Values: Relocating and Empowering Others in Their Own Contexts,216,"[""many_non_ascii_letters""]"
W2380504245,base,22,2012,In-situ experimental research on construction parameter of dynamic compaction method,63,"[""abstract_50_79""]"
W4210737835,base,27,2021,Parameters of Phase Synchronization in Electroencephalographic Patterns as Markers of Cognitive Impairment,69,"[""abstract_50_79""]"
W4224223871,base,29,2022,Data Mining Comparative Analysis of Health Behavior Classification Prediction by Social Relations of Children and Youth by Income Division,123,"[""many_non_ascii_letters""]"
W2184823729,base,17,2006,A Framework forHand GestureRecognition with Applications toSign Language,50,"[""abstract_50_79""]"
W4249836369,base,12,2017,Calling for the Super Citizen: Citizenship ceremonies in the UK and Germany as techniques of subject-formation,61,"[""abstract_50_79""]"
