`torch_dtype` is deprecated! Use `dtype` instead!
minilm/title: 2,048/52,000; reused 524, new 500
specter/title_abstract: 48,128/52,000; reused 1024, new 0
specter/title_abstract: 49,152/52,000; reused 1024, new 0
specter/title_abstract: 50,176/52,000; reused 1024, new 0
specter/title_abstract: 51,200/52,000; reused 1024, new 0
specter/title_abstract: 52,000/52,000; reused 800, new 0
`torch_dtype` is deprecated! Use `dtype` instead!
specter/title: 1,024/52,000; reused 521, new 503
specter/title: 2,048/52,000; reused 524, new 500
specter/title: 3,072/52,000; reused 498, new 526
specter/title: 4,096/52,000; reused 521, new 503
specter/title: 5,120/52,000; reused 521, new 503
specter/title: 6,144/52,000; reused 526, new 498
specter/title: 7,168/52,000; reused 520, new 504
specter/title: 8,192/52,000; reused 499, new 525
specter/title: 9,216/52,000; reused 492, new 532
specter/title: 10,240/52,000; reused 512, new 512
specter/title: 11,264/52,000; reused 535, new 489
specter/title: 12,288/52,000; reused 527, new 497
specter/title: 13,312/52,000; reused 508, new 516
specter/title: 14,336/52,000; reused 515, new 509
specter/title: 15,360/52,000; reused 497, new 527
specter/title: 16,384/52,000; reused 543, new 481
specter/title: 17,408/52,000; reused 527, new 497
specter/title: 18,432/52,000; reused 522, new 502
specter/title: 19,456/52,000; reused 537, new 487
specter/title: 20,480/52,000; reused 531, new 493
specter/title: 21,504/52,000; reused 529, new 495
specter/title: 22,528/52,000; reused 515, new 509
specter/title: 23,552/52,000; reused 517, new 507
specter/title: 24,576/52,000; reused 510, new 514
specter/title: 25,600/52,000; reused 491, new 533
specter/title: 26,624/52,000; reused 512, new 512
specter/title: 27,648/52,000; reused 520, new 504
specter/title: 28,672/52,000; reused 510, new 514
specter/title: 29,696/52,000; reused 460, new 564
specter/title: 30,720/52,000; reused 479, new 545
specter/title: 31,744/52,000; reused 511, new 513
specter/title: 32,768/52,000; reused 487, new 537
specter/title: 33,792/52,000; reused 510, new 514
specter/title: 34,816/52,000; reused 498, new 526
specter/title: 35,840/52,000; reused 519, new 505
specter/title: 36,864/52,000; reused 496, new 528
specter/title: 37,888/52,000; reused 524, new 500
specter/title: 38,912/52,000; reused 500, new 524
specter/title: 39,936/52,000; reused 518, new 506
specter/title: 40,960/52,000; reused 517, new 507
specter/title: 41,984/52,000; reused 514, new 510
specter/title: 43,008/52,000; reused 498, new 526
specter/title: 44,032/52,000; reused 509, new 515
specter/title: 45,056/52,000; reused 523, new 501
specter/title: 46,080/52,000; reused 510, new 514
specter/title: 47,104/52,000; reused 507, new 517
specter/title: 48,128/52,000; reused 512, new 512
specter/title: 49,152/52,000; reused 520, new 504
specter/title: 50,176/52,000; reused 507, new 517
specter/title: 51,200/52,000; reused 508, new 516
specter/title: 52,000/52,000; reused 393, new 407
specter/abstract: 1,024/52,000; reused 521, new 503
specter/abstract: 2,048/52,000; reused 524, new 500
specter/abstract: 3,072/52,000; reused 498, new 526
specter/abstract: 4,096/52,000; reused 521, new 503
specter/abstract: 5,120/52,000; reused 521, new 503
specter/abstract: 6,144/52,000; reused 526, new 498
specter/abstract: 7,168/52,000; reused 520, new 504
specter/abstract: 8,192/52,000; reused 499, new 525
specter/abstract: 9,216/52,000; reused 492, new 532
specter/abstract: 10,240/52,000; reused 512, new 512
specter/abstract: 11,264/52,000; reused 535, new 489
specter/abstract: 12,288/52,000; reused 527, new 497
specter/abstract: 13,312/52,000; reused 508, new 516
specter/abstract: 14,336/52,000; reused 515, new 509
specter/abstract: 15,360/52,000; reused 497, new 527
specter/abstract: 16,384/52,000; reused 543, new 481
specter/abstract: 17,408/52,000; reused 527, new 497
specter/abstract: 18,432/52,000; reused 522, new 502
specter/abstract: 19,456/52,000; reused 537, new 487
specter/abstract: 20,480/52,000; reused 531, new 493
specter/abstract: 21,504/52,000; reused 529, new 495
specter/abstract: 22,528/52,000; reused 515, new 509
specter/abstract: 23,552/52,000; reused 517, new 507
specter/abstract: 24,576/52,000; reused 510, new 514
specter/abstract: 25,600/52,000; reused 491, new 533
specter/abstract: 26,624/52,000; reused 512, new 512
specter/abstract: 27,648/52,000; reused 520, new 504
specter/abstract: 28,672/52,000; reused 510, new 514
specter/abstract: 29,696/52,000; reused 460, new 564
specter/abstract: 30,720/52,000; reused 479, new 545
specter/abstract: 31,744/52,000; reused 511, new 513
specter/abstract: 32,768/52,000; reused 487, new 537
specter/abstract: 33,792/52,000; reused 510, new 514
specter/abstract: 34,816/52,000; reused 498, new 526
specter/abstract: 35,840/52,000; reused 519, new 505
specter/abstract: 36,864/52,000; reused 496, new 528
specter/abstract: 37,888/52,000; reused 524, new 500
specter/abstract: 38,912/52,000; reused 500, new 524
specter/abstract: 39,936/52,000; reused 518, new 506
specter/abstract: 40,960/52,000; reused 517, new 507
specter/abstract: 41,984/52,000; reused 514, new 510
specter/abstract: 43,008/52,000; reused 498, new 526
specter/abstract: 44,032/52,000; reused 509, new 515
specter/abstract: 45,056/52,000; reused 523, new 501
specter/abstract: 46,080/52,000; reused 510, new 514
specter/abstract: 47,104/52,000; reused 507, new 517
specter/abstract: 48,128/52,000; reused 512, new 512
specter/abstract: 49,152/52,000; reused 520, new 504
specter/abstract: 50,176/52,000; reused 507, new 517
specter/abstract: 51,200/52,000; reused 508, new 516
specter/abstract: 52,000/52,000; reused 393, new 407
specter2/title_abstract: 1,024/52,000; reused 1024, new 0
specter2/title_abstract: 2,048/52,000; reused 1024, new 0
specter2/title_abstract: 3,072/52,000; reused 1024, new 0
specter2/title_abstract: 4,096/52,000; reused 1024, new 0
specter2/title_abstract: 5,120/52,000; reused 1024, new 0
specter2/title_abstract: 6,144/52,000; reused 1024, new 0
specter2/title_abstract: 7,168/52,000; reused 1024, new 0
specter2/title_abstract: 8,192/52,000; reused 1024, new 0
specter2/title_abstract: 9,216/52,000; reused 1024, new 0
specter2/title_abstract: 10,240/52,000; reused 1024, new 0
specter2/title_abstract: 11,264/52,000; reused 1024, new 0
specter2/title_abstract: 12,288/52,000; reused 1024, new 0
specter2/title_abstract: 13,312/52,000; reused 1024, new 0
specter2/title_abstract: 14,336/52,000; reused 1024, new 0
specter2/title_abstract: 15,360/52,000; reused 1024, new 0
specter2/title_abstract: 16,384/52,000; reused 1024, new 0
specter2/title_abstract: 17,408/52,000; reused 1024, new 0
specter2/title_abstract: 18,432/52,000; reused 1024, new 0
specter2/title_abstract: 19,456/52,000; reused 1024, new 0
specter2/title_abstract: 20,480/52,000; reused 1024, new 0
specter2/title_abstract: 21,504/52,000; reused 1024, new 0
specter2/title_abstract: 22,528/52,000; reused 1024, new 0
specter2/title_abstract: 23,552/52,000; reused 1024, new 0
specter2/title_abstract: 24,576/52,000; reused 1024, new 0
specter2/title_abstract: 25,600/52,000; reused 1024, new 0
specter2/title_abstract: 26,624/52,000; reused 1024, new 0
specter2/title_abstract: 27,648/52,000; reused 1024, new 0
specter2/title_abstract: 28,672/52,000; reused 1024, new 0
specter2/title_abstract: 29,696/52,000; reused 1024, new 0
specter2/title_abstract: 30,720/52,000; reused 1024, new 0
specter2/title_abstract: 31,744/52,000; reused 1024, new 0
specter2/title_abstract: 32,768/52,000; reused 1024, new 0
specter2/title_abstract: 33,792/52,000; reused 1024, new 0
specter2/title_abstract: 34,816/52,000; reused 1024, new 0
specter2/title_abstract: 35,840/52,000; reused 1024, new 0
specter2/title_abstract: 36,864/52,000; reused 1024, new 0
specter2/title_abstract: 37,888/52,000; reused 1024, new 0
specter2/title_abstract: 38,912/52,000; reused 1024, new 0
specter2/title_abstract: 39,936/52,000; reused 1024, new 0
specter2/title_abstract: 40,960/52,000; reused 1024, new 0
specter2/title_abstract: 41,984/52,000; reused 1024, new 0
specter2/title_abstract: 43,008/52,000; reused 1024, new 0
specter2/title_abstract: 44,032/52,000; reused 1024, new 0
specter2/title_abstract: 45,056/52,000; reused 1024, new 0
specter2/title_abstract: 46,080/52,000; reused 1024, new 0
specter2/title_abstract: 47,104/52,000; reused 1024, new 0
specter2/title_abstract: 48,128/52,000; reused 1024, new 0
specter2/title_abstract: 49,152/52,000; reused 1024, new 0
specter2/title_abstract: 50,176/52,000; reused 1024, new 0
specter2/title_abstract: 51,200/52,000; reused 1024, new 0
specter2/title_abstract: 52,000/52,000; reused 800, new 0
`torch_dtype` is deprecated! Use `dtype` instead!
There are adapters available but none are activated for the forward pass.
specter2/title: 1,024/52,000; reused 521, new 503
specter2/title: 2,048/52,000; reused 524, new 500
specter2/title: 3,072/52,000; reused 498, new 526
specter2/title: 4,096/52,000; reused 521, new 503
specter2/title: 5,120/52,000; reused 521, new 503
specter2/title: 6,144/52,000; reused 526, new 498
specter2/title: 7,168/52,000; reused 520, new 504
specter2/title: 8,192/52,000; reused 499, new 525
specter2/title: 9,216/52,000; reused 492, new 532
specter2/title: 10,240/52,000; reused 512, new 512
specter2/title: 11,264/52,000; reused 535, new 489
specter2/title: 12,288/52,000; reused 527, new 497
specter2/title: 13,312/52,000; reused 508, new 516
specter2/title: 14,336/52,000; reused 515, new 509
specter2/title: 15,360/52,000; reused 497, new 527
specter2/title: 16,384/52,000; reused 543, new 481
specter2/title: 17,408/52,000; reused 527, new 497
specter2/title: 18,432/52,000; reused 522, new 502
specter2/title: 19,456/52,000; reused 537, new 487
specter2/title: 20,480/52,000; reused 531, new 493
specter2/title: 21,504/52,000; reused 529, new 495
specter2/title: 22,528/52,000; reused 515, new 509
specter2/title: 23,552/52,000; reused 517, new 507
specter2/title: 24,576/52,000; reused 510, new 514
specter2/title: 25,600/52,000; reused 491, new 533
specter2/title: 26,624/52,000; reused 512, new 512
specter2/title: 27,648/52,000; reused 520, new 504
specter2/title: 28,672/52,000; reused 510, new 514
specter2/title: 29,696/52,000; reused 460, new 564
specter2/title: 30,720/52,000; reused 479, new 545
specter2/title: 31,744/52,000; reused 511, new 513
specter2/title: 32,768/52,000; reused 487, new 537
specter2/title: 33,792/52,000; reused 510, new 514
specter2/title: 34,816/52,000; reused 498, new 526
specter2/title: 35,840/52,000; reused 519, new 505
specter2/title: 36,864/52,000; reused 496, new 528
specter2/title: 37,888/52,000; reused 524, new 500
specter2/title: 38,912/52,000; reused 500, new 524
specter2/title: 39,936/52,000; reused 518, new 506
specter2/title: 40,960/52,000; reused 517, new 507
specter2/title: 41,984/52,000; reused 514, new 510
specter2/title: 43,008/52,000; reused 498, new 526
specter2/title: 44,032/52,000; reused 509, new 515
specter2/title: 45,056/52,000; reused 523, new 501
specter2/title: 46,080/52,000; reused 510, new 514
specter2/title: 47,104/52,000; reused 507, new 517
specter2/title: 48,128/52,000; reused 512, new 512
specter2/title: 49,152/52,000; reused 520, new 504
specter2/title: 50,176/52,000; reused 507, new 517
specter2/title: 51,200/52,000; reused 508, new 516
specter2/title: 52,000/52,000; reused 393, new 407
specter2/abstract: 1,024/52,000; reused 521, new 503
specter2/abstract: 2,048/52,000; reused 524, new 500
specter2/abstract: 3,072/52,000; reused 498, new 526
specter2/abstract: 4,096/52,000; reused 521, new 503
specter2/abstract: 5,120/52,000; reused 521, new 503
specter2/abstract: 6,144/52,000; reused 526, new 498
specter2/abstract: 7,168/52,000; reused 520, new 504
specter2/abstract: 8,192/52,000; reused 499, new 525
specter2/abstract: 9,216/52,000; reused 492, new 532
specter2/abstract: 10,240/52,000; reused 512, new 512
specter2/abstract: 11,264/52,000; reused 535, new 489
specter2/abstract: 12,288/52,000; reused 527, new 497
specter2/abstract: 13,312/52,000; reused 508, new 516
specter2/abstract: 14,336/52,000; reused 515, new 509
specter2/abstract: 15,360/52,000; reused 497, new 527
specter2/abstract: 16,384/52,000; reused 543, new 481
specter2/abstract: 17,408/52,000; reused 527, new 497
specter2/abstract: 18,432/52,000; reused 522, new 502
specter2/abstract: 19,456/52,000; reused 537, new 487
specter2/abstract: 20,480/52,000; reused 531, new 493
specter2/abstract: 21,504/52,000; reused 529, new 495
specter2/abstract: 22,528/52,000; reused 515, new 509
specter2/abstract: 23,552/52,000; reused 517, new 507
specter2/abstract: 24,576/52,000; reused 510, new 514
specter2/abstract: 25,600/52,000; reused 491, new 533
specter2/abstract: 26,624/52,000; reused 512, new 512
specter2/abstract: 27,648/52,000; reused 520, new 504
specter2/abstract: 28,672/52,000; reused 510, new 514
specter2/abstract: 29,696/52,000; reused 460, new 564
specter2/abstract: 30,720/52,000; reused 479, new 545
specter2/abstract: 31,744/52,000; reused 511, new 513
specter2/abstract: 32,768/52,000; reused 487, new 537
specter2/abstract: 33,792/52,000; reused 510, new 514
specter2/abstract: 34,816/52,000; reused 498, new 526
specter2/abstract: 35,840/52,000; reused 519, new 505
specter2/abstract: 36,864/52,000; reused 496, new 528
specter2/abstract: 37,888/52,000; reused 524, new 500
specter2/abstract: 38,912/52,000; reused 500, new 524
specter2/abstract: 39,936/52,000; reused 518, new 506
specter2/abstract: 40,960/52,000; reused 517, new 507
specter2/abstract: 41,984/52,000; reused 514, new 510
specter2/abstract: 43,008/52,000; reused 498, new 526
specter2/abstract: 44,032/52,000; reused 509, new 515
specter2/abstract: 45,056/52,000; reused 523, new 501
specter2/abstract: 46,080/52,000; reused 510, new 514
specter2/abstract: 47,104/52,000; reused 507, new 517
specter2/abstract: 48,128/52,000; reused 512, new 512
specter2/abstract: 49,152/52,000; reused 520, new 504
specter2/abstract: 50,176/52,000; reused 507, new 517
specter2/abstract: 51,200/52,000; reused 508, new 516
specter2/abstract: 52,000/52,000; reused 393, new 407
scincl/title_abstract: 1,024/52,000; reused 1024, new 0
scincl/title_abstract: 2,048/52,000; reused 1024, new 0
scincl/title_abstract: 3,072/52,000; reused 1024, new 0
scincl/title_abstract: 4,096/52,000; reused 1024, new 0
scincl/title_abstract: 5,120/52,000; reused 1024, new 0
scincl/title_abstract: 6,144/52,000; reused 1024, new 0
scincl/title_abstract: 7,168/52,000; reused 1024, new 0
scincl/title_abstract: 8,192/52,000; reused 1024, new 0
scincl/title_abstract: 9,216/52,000; reused 1024, new 0
scincl/title_abstract: 10,240/52,000; reused 1024, new 0
scincl/title_abstract: 11,264/52,000; reused 1024, new 0
scincl/title_abstract: 12,288/52,000; reused 1024, new 0
scincl/title_abstract: 13,312/52,000; reused 1024, new 0
scincl/title_abstract: 14,336/52,000; reused 1024, new 0
scincl/title_abstract: 15,360/52,000; reused 1024, new 0
scincl/title_abstract: 16,384/52,000; reused 1024, new 0
scincl/title_abstract: 17,408/52,000; reused 1024, new 0
scincl/title_abstract: 18,432/52,000; reused 1024, new 0
scincl/title_abstract: 19,456/52,000; reused 1024, new 0
scincl/title_abstract: 20,480/52,000; reused 1024, new 0
scincl/title_abstract: 21,504/52,000; reused 1024, new 0
scincl/title_abstract: 22,528/52,000; reused 1024, new 0
scincl/title_abstract: 23,552/52,000; reused 1024, new 0
scincl/title_abstract: 24,576/52,000; reused 1024, new 0
scincl/title_abstract: 25,600/52,000; reused 1024, new 0
scincl/title_abstract: 26,624/52,000; reused 1024, new 0
scincl/title_abstract: 27,648/52,000; reused 1024, new 0
scincl/title_abstract: 28,672/52,000; reused 1024, new 0
scincl/title_abstract: 29,696/52,000; reused 1024, new 0
scincl/title_abstract: 30,720/52,000; reused 1024, new 0
scincl/title_abstract: 31,744/52,000; reused 1024, new 0
scincl/title_abstract: 32,768/52,000; reused 1024, new 0
scincl/title_abstract: 33,792/52,000; reused 1024, new 0
scincl/title_abstract: 34,816/52,000; reused 1024, new 0
scincl/title_abstract: 35,840/52,000; reused 1024, new 0
scincl/title_abstract: 36,864/52,000; reused 1024, new 0
scincl/title_abstract: 37,888/52,000; reused 1024, new 0
scincl/title_abstract: 38,912/52,000; reused 1024, new 0
scincl/title_abstract: 39,936/52,000; reused 1024, new 0
scincl/title_abstract: 40,960/52,000; reused 1024, new 0
scincl/title_abstract: 41,984/52,000; reused 1024, new 0
scincl/title_abstract: 43,008/52,000; reused 1024, new 0
scincl/title_abstract: 44,032/52,000; reused 1024, new 0
scincl/title_abstract: 45,056/52,000; reused 1024, new 0
scincl/title_abstract: 46,080/52,000; reused 1024, new 0
scincl/title_abstract: 47,104/52,000; reused 1024, new 0
scincl/title_abstract: 48,128/52,000; reused 1024, new 0
scincl/title_abstract: 49,152/52,000; reused 1024, new 0
scincl/title_abstract: 50,176/52,000; reused 1024, new 0
scincl/title_abstract: 51,200/52,000; reused 1024, new 0
scincl/title_abstract: 52,000/52,000; reused 800, new 0
`torch_dtype` is deprecated! Use `dtype` instead!
scincl/title: 1,024/52,000; reused 521, new 503
scincl/title: 2,048/52,000; reused 524, new 500
scincl/title: 3,072/52,000; reused 498, new 526
scincl/title: 4,096/52,000; reused 521, new 503
scincl/title: 5,120/52,000; reused 521, new 503
scincl/title: 6,144/52,000; reused 526, new 498
scincl/title: 7,168/52,000; reused 520, new 504
scincl/title: 8,192/52,000; reused 499, new 525
scincl/title: 9,216/52,000; reused 492, new 532
scincl/title: 10,240/52,000; reused 512, new 512
scincl/title: 11,264/52,000; reused 535, new 489
scincl/title: 12,288/52,000; reused 527, new 497
scincl/title: 13,312/52,000; reused 508, new 516
scincl/title: 14,336/52,000; reused 515, new 509
scincl/title: 15,360/52,000; reused 497, new 527
scincl/title: 16,384/52,000; reused 543, new 481
scincl/title: 17,408/52,000; reused 527, new 497
scincl/title: 18,432/52,000; reused 522, new 502
scincl/title: 19,456/52,000; reused 537, new 487
scincl/title: 20,480/52,000; reused 531, new 493
scincl/title: 21,504/52,000; reused 529, new 495
scincl/title: 22,528/52,000; reused 515, new 509
scincl/title: 23,552/52,000; reused 517, new 507
scincl/title: 24,576/52,000; reused 510, new 514
scincl/title: 25,600/52,000; reused 491, new 533
scincl/title: 26,624/52,000; reused 512, new 512
scincl/title: 27,648/52,000; reused 520, new 504
scincl/title: 28,672/52,000; reused 510, new 514
scincl/title: 29,696/52,000; reused 460, new 564
scincl/title: 30,720/52,000; reused 479, new 545
scincl/title: 31,744/52,000; reused 511, new 513
scincl/title: 32,768/52,000; reused 487, new 537
scincl/title: 33,792/52,000; reused 510, new 514
scincl/title: 34,816/52,000; reused 498, new 526
scincl/title: 35,840/52,000; reused 519, new 505
scincl/title: 36,864/52,000; reused 496, new 528
scincl/title: 37,888/52,000; reused 524, new 500
scincl/title: 38,912/52,000; reused 500, new 524
scincl/title: 39,936/52,000; reused 518, new 506
scincl/title: 40,960/52,000; reused 517, new 507
scincl/title: 41,984/52,000; reused 514, new 510
scincl/title: 43,008/52,000; reused 498, new 526
scincl/title: 44,032/52,000; reused 509, new 515
scincl/title: 45,056/52,000; reused 523, new 501
scincl/title: 46,080/52,000; reused 510, new 514
scincl/title: 47,104/52,000; reused 507, new 517
scincl/title: 48,128/52,000; reused 512, new 512
scincl/title: 49,152/52,000; reused 520, new 504
scincl/title: 50,176/52,000; reused 507, new 517
scincl/title: 51,200/52,000; reused 508, new 516
scincl/title: 52,000/52,000; reused 393, new 407
scincl/abstract: 1,024/52,000; reused 521, new 503
scincl/abstract: 2,048/52,000; reused 524, new 500
scincl/abstract: 3,072/52,000; reused 498, new 526
scincl/abstract: 4,096/52,000; reused 521, new 503
scincl/abstract: 5,120/52,000; reused 521, new 503
scincl/abstract: 6,144/52,000; reused 526, new 498
scincl/abstract: 7,168/52,000; reused 520, new 504
scincl/abstract: 8,192/52,000; reused 499, new 525
scincl/abstract: 9,216/52,000; reused 492, new 532
scincl/abstract: 10,240/52,000; reused 512, new 512
scincl/abstract: 11,264/52,000; reused 535, new 489
scincl/abstract: 12,288/52,000; reused 527, new 497
scincl/abstract: 13,312/52,000; reused 508, new 516
scincl/abstract: 14,336/52,000; reused 515, new 509
scincl/abstract: 15,360/52,000; reused 497, new 527
scincl/abstract: 16,384/52,000; reused 543, new 481
scincl/abstract: 17,408/52,000; reused 527, new 497
scincl/abstract: 18,432/52,000; reused 522, new 502
scincl/abstract: 19,456/52,000; reused 537, new 487
scincl/abstract: 20,480/52,000; reused 531, new 493
scincl/abstract: 21,504/52,000; reused 529, new 495
scincl/abstract: 22,528/52,000; reused 515, new 509
scincl/abstract: 23,552/52,000; reused 517, new 507
scincl/abstract: 24,576/52,000; reused 510, new 514
scincl/abstract: 25,600/52,000; reused 491, new 533
scincl/abstract: 26,624/52,000; reused 512, new 512
scincl/abstract: 27,648/52,000; reused 520, new 504
scincl/abstract: 28,672/52,000; reused 510, new 514
scincl/abstract: 29,696/52,000; reused 460, new 564
scincl/abstract: 30,720/52,000; reused 479, new 545
scincl/abstract: 31,744/52,000; reused 511, new 513
scincl/abstract: 32,768/52,000; reused 487, new 537
scincl/abstract: 33,792/52,000; reused 510, new 514
scincl/abstract: 34,816/52,000; reused 498, new 526
scincl/abstract: 35,840/52,000; reused 519, new 505
scincl/abstract: 36,864/52,000; reused 496, new 528
scincl/abstract: 37,888/52,000; reused 524, new 500
scincl/abstract: 38,912/52,000; reused 500, new 524
scincl/abstract: 39,936/52,000; reused 518, new 506
scincl/abstract: 40,960/52,000; reused 517, new 507
scincl/abstract: 41,984/52,000; reused 514, new 510
scincl/abstract: 43,008/52,000; reused 498, new 526
scincl/abstract: 44,032/52,000; reused 509, new 515
scincl/abstract: 45,056/52,000; reused 523, new 501
scincl/abstract: 46,080/52,000; reused 510, new 514
scincl/abstract: 47,104/52,000; reused 507, new 517
scincl/abstract: 48,128/52,000; reused 512, new 512
scincl/abstract: 49,152/52,000; reused 520, new 504
scincl/abstract: 50,176/52,000; reused 507, new 517
scincl/abstract: 51,200/52,000; reused 508, new 516
scincl/abstract: 52,000/52,000; reused 393, new 407
scibert/title_abstract: 1,024/52,000; reused 1024, new 0
scibert/title_abstract: 2,048/52,000; reused 1024, new 0
scibert/title_abstract: 3,072/52,000; reused 1024, new 0
scibert/title_abstract: 4,096/52,000; reused 1024, new 0
scibert/title_abstract: 5,120/52,000; reused 1024, new 0
scibert/title_abstract: 6,144/52,000; reused 1024, new 0
scibert/title_abstract: 7,168/52,000; reused 1024, new 0
scibert/title_abstract: 8,192/52,000; reused 1024, new 0
scibert/title_abstract: 9,216/52,000; reused 1024, new 0
scibert/title_abstract: 10,240/52,000; reused 1024, new 0
scibert/title_abstract: 11,264/52,000; reused 1024, new 0
scibert/title_abstract: 12,288/52,000; reused 1024, new 0
scibert/title_abstract: 13,312/52,000; reused 1024, new 0
scibert/title_abstract: 14,336/52,000; reused 1024, new 0
scibert/title_abstract: 15,360/52,000; reused 1024, new 0
scibert/title_abstract: 16,384/52,000; reused 1024, new 0
scibert/title_abstract: 17,408/52,000; reused 1024, new 0
scibert/title_abstract: 18,432/52,000; reused 1024, new 0
scibert/title_abstract: 19,456/52,000; reused 1024, new 0
scibert/title_abstract: 20,480/52,000; reused 1024, new 0
scibert/title_abstract: 21,504/52,000; reused 1024, new 0
scibert/title_abstract: 22,528/52,000; reused 1024, new 0
scibert/title_abstract: 23,552/52,000; reused 1024, new 0
scibert/title_abstract: 24,576/52,000; reused 1024, new 0
scibert/title_abstract: 25,600/52,000; reused 1024, new 0
scibert/title_abstract: 26,624/52,000; reused 1024, new 0
scibert/title_abstract: 27,648/52,000; reused 1024, new 0
scibert/title_abstract: 28,672/52,000; reused 1024, new 0
scibert/title_abstract: 29,696/52,000; reused 1024, new 0
scibert/title_abstract: 30,720/52,000; reused 1024, new 0
scibert/title_abstract: 31,744/52,000; reused 1024, new 0
scibert/title_abstract: 32,768/52,000; reused 1024, new 0
scibert/title_abstract: 33,792/52,000; reused 1024, new 0
scibert/title_abstract: 34,816/52,000; reused 1024, new 0
scibert/title_abstract: 35,840/52,000; reused 1024, new 0
scibert/title_abstract: 36,864/52,000; reused 1024, new 0
scibert/title_abstract: 37,888/52,000; reused 1024, new 0
scibert/title_abstract: 38,912/52,000; reused 1024, new 0
scibert/title_abstract: 39,936/52,000; reused 1024, new 0
scibert/title_abstract: 40,960/52,000; reused 1024, new 0
scibert/title_abstract: 41,984/52,000; reused 1024, new 0
scibert/title_abstract: 43,008/52,000; reused 1024, new 0
scibert/title_abstract: 44,032/52,000; reused 1024, new 0
scibert/title_abstract: 45,056/52,000; reused 1024, new 0
scibert/title_abstract: 46,080/52,000; reused 1024, new 0
scibert/title_abstract: 47,104/52,000; reused 1024, new 0
scibert/title_abstract: 48,128/52,000; reused 1024, new 0
scibert/title_abstract: 49,152/52,000; reused 1024, new 0
scibert/title_abstract: 50,176/52,000; reused 1024, new 0
scibert/title_abstract: 51,200/52,000; reused 1024, new 0
scibert/title_abstract: 52,000/52,000; reused 800, new 0
`torch_dtype` is deprecated! Use `dtype` instead!
scibert/title: 1,024/52,000; reused 521, new 503
scibert/title: 2,048/52,000; reused 524, new 500
scibert/title: 3,072/52,000; reused 498, new 526
scibert/title: 4,096/52,000; reused 521, new 503
scibert/title: 5,120/52,000; reused 521, new 503
scibert/title: 6,144/52,000; reused 526, new 498
scibert/title: 7,168/52,000; reused 520, new 504
scibert/title: 8,192/52,000; reused 499, new 525
scibert/title: 9,216/52,000; reused 492, new 532
scibert/title: 10,240/52,000; reused 512, new 512
scibert/title: 11,264/52,000; reused 535, new 489
scibert/title: 12,288/52,000; reused 527, new 497
scibert/title: 13,312/52,000; reused 508, new 516
scibert/title: 14,336/52,000; reused 515, new 509
